,Model,Features,MSE,RMSE,Mean Abs. Error,Median Abs. Error,R2 Score,Train Time,Test Partition
0,OLS,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1229771462.34,35068.1,24645.21,17785.11,0.55,0.05419206619262695,Train
1,OLS,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1182015378.63,34380.45,24239.62,17169.03,0.56,0.05419206619262695,Validation
2,OLS,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",664234129.76,25772.74,16065.81,10006.15,0.76,0.21106934547424316,Train
3,OLS,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",634407736.6,25187.45,15808.76,9991.01,0.76,0.21106934547424316,Validation
4,OLS,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",649209939.49,25479.6,15852.44,9879.76,0.76,0.4608266353607178,Train
5,OLS,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",622023925.37,24940.41,15621.75,9861.52,0.77,0.4608266353607178,Validation
6,Lasso,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1229771478.69,35068.1,24645.03,17782.1,0.55,0.037690162658691406,Train
7,Lasso,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1182017335.48,34380.48,24239.41,17171.25,0.56,0.037690162658691406,Validation
8,Lasso,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",664240391.04,25772.86,16065.6,10008.44,0.76,5.776232481002808,Train
9,Lasso,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",634413679.97,25187.57,15808.92,9990.12,0.76,5.776232481002808,Validation
10,Lasso,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",649190291.61,25479.21,15857.3,9876.41,0.76,13.411409854888916,Train
11,Lasso,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",621800165.82,24935.92,15625.26,9844.64,0.77,13.411409854888916,Validation
12,Ridge,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1229771470.15,35068.1,24645.16,17783.47,0.55,0.022536277770996094,Train
13,Ridge,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1182016412.49,34380.47,24239.55,17170.8,0.56,0.022536277770996094,Validation
14,Ridge,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1389589198.01,37277.19,26039.94,18897.08,0.5,0.06889486312866211,Train
15,Ridge,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1350600519.92,36750.52,25781.66,18851.02,0.5,0.06889486312866211,Validation
16,Ridge,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",1378790640.04,37132.07,25954.35,18806.3,0.5,0.09310770034790039,Train
17,Ridge,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",1341210903.78,36622.55,25719.36,18819.07,0.5,0.09310770034790039,Validation
18,Huber,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1295085479.73,35987.3,24339.75,16919.93,0.53,0.7765929698944092,Train
19,Huber,"['Property Class Description', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1248685389.52,35336.74,23949.3,16491.82,0.53,0.7765929698944092,Validation
20,Huber,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1140657302.98,33773.62,20649.62,12804.76,0.59,0.936215877532959,Train
21,Huber,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths']",1093356826.73,33065.95,20215.89,12470.67,0.59,0.936215877532959,Validation
22,Huber,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",975475127.25,31232.6,19186.38,11696.04,0.65,1.242917537689209,Train
23,Huber,"['Property Class Description', 'Neighborhood', 'Front', 'Age', 'Total Living Area', '# of Fireplaces', '# of Beds', 'TotalBaths', 'Overall Condition', 'Building Style', 'Heat Type']",937868382.8,30624.64,18842.77,11583.19,0.65,1.242917537689209,Validation
